Materia,RA,Inglés,Español
200-2 Estructura de Datos,a,An ability to apply knowledge of computing and mathematics appropriate to the discipline.,Habilidad para aplicar conocimientos de computación y matemáticas apropiados a su disciplina
200-2 Estructura de Datos,b,An ability to analyze a problemcomma and identify and define the computing requirements appropriate to its solution.,Habilidad para analizar un problemacomma e identificar y definir los requerimientos computacionales apropiados para su solución.
200-2 Estructura de Datos,h / RAI4,Recognition of the need for and an ability to engage in continuing professional development.,Reconocer la necesidadcomma y tener la habilidad para involucrarse en el aprendizaje a lo largo de la vida.
200-2 Estructura de Datos,k,Apply computer science theory and software development fundamentals to produce computing-based solutions.,Habilidad para aplicar teoría de ciencias computacionales y fundamentos de desarrollo de software para producir soluciones basadas en computación.
200-2 Ciencias de la Computación aplicadas a la Solución de Problemas,f / RAI2,An ability to communicate effectively with a range of audiences.,Tener la habilidad para comunicarse efectivamente de forma oral y escrita en español.
200-2 Ciencias de la Computación aplicadas a la Solución de Problemas,g,An ability to analyze the local and global impact of computing on individualscomma organizationscomma and society.,Habilidad para analizar el impacto local y global de la computación sobre los individuoscomma organizaciones y sociedad
200-2 Ciencias de la Computación aplicadas a la Solución de Problemas,h / RAI4,Recognition of the need for and an ability to engage in continuing professional development.,Reconocer la necesidadcomma y tener la habilidad para involucrarse en el aprendizaje a lo largo de la vida.
200-2 Ciencias de la Computación aplicadas a la Solución de Problemas,j / RAI7,An ability to leadcomma manage and undertake projects.,Reconocer la necesidad y tener las habilidades para emprender.
300-1 Análisis de Algoritmos,a,An ability to apply knowledge of computing and mathematics appropriate to the discipline.,Habilidad para aplicar conocimientos de computación y matemáticas apropiados a su disciplina
300-1 Análisis de Algoritmos,b,An ability to analyze a problemcomma and identify and define the computing requirements appropriate to its solution.,Habilidad para analizar un problemacomma e identificar y definir los requerimientos computacionales apropiados para su solución.
300-1 Análisis de Algoritmos,j / RAI7,An ability to leadcomma manage and undertake projects.,Reconocer la necesidad y tener las habilidades para emprender.
300-1 Análisis de Algoritmos,RAI3,An ability to communicate in English.,Tener habilidad para comunicarse en inglés.
